text_input,output
"translate to karay-a: The bell rang, signaling the start of another day of learning.","Nagtunog ang bagtingan, nagapatimaan kang pag-umpisa liwan kang bag-o nga adlaw sa pagtuon."
"translate to karay-a: Students eagerly flipped through their textbooks, searching for answers.",Naga yapa yapa ang mga estudyante magbaliskad ka andang mga libro para mangita ka sabat.
"translate to karay-a: The teacher wrote equations on the board, explaining them step by step.",Ang maestra nagsulat ka mga equations sa board kag gin bato bato paintiende ang kada punto. 
"translate to karay-a: The library was quiet, filled with the scent of old books and curiosity.","Malinong ang library, mahaklo mo ang dapog ka mga daan nga libro kag ang pagka mausisaon."
"translate to karay-a: During recess, children played tag and laughed under the bright sun.","Masanag ang butlak ka adlaw, nagkirinadlaw kag nagsirinipal ang mga kabataan samtang recess."
translate to karay-a: study diligently in my classes.,Nagatutom ako magtuon sa akon mga klase.
translate to karay-a: The schoolyard echoed with the sounds of basketballs bouncing and children chattering.,Nabuta ang palibot ka eskwelahan ka tunog kang naga umpok nga bola kag ginahud ka mga estudyante.
translate to karay-a: Pencils scratched against paper as students worked on their assignments.,Naga bag-id ang lapis sa papel ka obra ka mga estudyante ka andang assignment
"translate to karay-a: The principal’s office felt intimidating, with its polished desk and stern gaze.",Daw kaharadlok magsulod sa opisina kang principal kun makita mo anang hipig nga lamesa ilabi run gid ang estrikto na nga itsura.
"translate to karay-a: As the day ended, backpacks were slung over shoulders, and tired students headed home, eager for rest.","Sa pagtapos ka adlaw, sab-it ang bag sa abaga, naga paulî ang kapoy nga mga estudyante kag gusto dun magpahuway."
"translate to English: Nagtunog ang bagtingan, nagapatimaan kang pag-umpisa liwan kang bag-o nga adlaw sa pagtuon.","The bell rang, signaling the start of another day of learning."
translate to English: Naga yapa yapa ang mga estudyante magbaliskad ka andang mga libro para mangita ka sabat.,"translate to karay-a: Students eagerly flipped through their textbooks, searching for answers."
translate to English: Ang maestra nagsulat ka mga equations sa board kag gin bato bato paintiende ang kada punto. ,"The teacher wrote equations on the board, explaining them step by step."
"translate to English: Malinong ang library, mahaklo mo ang dapog ka mga daan nga libro kag ang pagka mausisaon.","The library was quiet, filled with the scent of old books and curiosity."
"translate to English: Masanag ang butlak ka adlaw, nagkirinadlaw kag nagsirinipal ang mga kabataan samtang recess.","During recess, children played tag and laughed under the bright sun."
translate to English: Nagatutom ako magtuon sa akon mga klase.,study diligently in my classes.
translate to English: Nabuta ang palibot ka eskwelahan ka tunog kang naga umpok nga bola kag ginahud ka mga estudyante.,The schoolyard echoed with the sounds of basketballs bouncing and children chattering.
translate to English: Naga bag-id ang lapis sa papel ka obra ka mga estudyante ka andang assignment,Pencils scratched against paper as students worked on their assignments.
translate to English: Daw kaharadlok magsulod sa opisina kang principal kun makita mo anang hipig nga lamesa ilabi run gid ang estrikto na nga itsura.,"The principal’s office felt intimidating, with its polished desk and stern gaze."
"translate to English: Sa pagtapos ka adlaw, sab-it ang bag sa abaga, naga paulî ang kapoy nga mga estudyante kag gusto dun magpahuway.","As the day ended, backpacks were slung over shoulders, and tired students headed home, eager for rest."
